,Player,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,non_penalty_goals,penalty_goal,CrdY,CrdR,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Err,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team,Cleansheets,Shots saved
416,Federico Valverde,3,3,270,0,0,7,1,0,0,0,0,0,0,159,189,84.1,7,4,6,5,1,0,227,1,4,25,6,2,0,7,0,0,0,1,3,MF,23,Spain,Real Madrid,Uruguay,0,
417,Mathías Olivera,3,3,253,0,0,2,0,0,0,0,0,1,0,104,133,78.2,9,5,9,2,10,0,183,0,3,0,2,3,0,6,0,0,0,6,4,DF,24,Italy,Napoli,Uruguay,0,
418,Darwin Núñez,3,3,240,0,0,3,1,0,0,0,0,1,0,35,56,62.5,3,2,2,0,2,0,86,0,4,0,2,3,0,4,0,0,0,5,10,FW,22,England,Liverpool,Uruguay,0,
419,Rodrigo Bentancur,3,3,213,0,0,3,1,0,0,0,0,1,0,136,160,85,9,8,3,7,5,0,195,3,6,50,5,3,0,2,0,0,0,6,3,MF,24,England,Tottenham,Uruguay,0,
420,Matías Vecino,3,2,195,0,0,1,1,0,0,0,0,0,0,76,106,71.7,4,3,6,4,1,0,131,0,0,0,4,0,0,1,0,0,0,3,3,MF,30,Italy,Lazio,Uruguay,0,
421,Guillermo Varela,3,2,183,0,0,0,0,0,0,0,0,0,0,62,92,67.4,3,2,1,3,1,0,108,0,3,0,3,8,0,7,0,0,0,1,2,DF,29,Brazil,Flamengo,Uruguay,0,
422,Facundo Pellistri,3,2,181,0,0,1,0,0,0,0,0,0,0,32,46,69.6,2,1,1,0,2,0,68,0,6,0,2,2,0,3,0,0,0,0,6,"MF,FW",20,England,Manchester Utd,Uruguay,0,
423,Sebastián Coates,2,2,180,0,0,1,0,0,0,0,0,1,0,76,93,81.7,1,0,3,1,6,0,107,0,0,0,2,0,0,0,0,0,0,7,0,DF,31,Portugal,Sporting CP,Uruguay,0,
424,Diego Godín,2,2,151,0,0,1,0,0,0,0,0,0,0,87,103,84.5,0,0,0,1,9,0,116,0,0,0,0,1,0,0,0,0,0,8,2,DF,36,Argentina,Vélez Sarsf,Uruguay,0,
425,Luis Suárez,3,2,146,0,1,2,1,0,0,0,0,1,0,25,40,62.5,1,0,0,0,2,0,52,2,3,66.7,0,6,1,0,0,0,0,2,4,FW,35,Uruguay,Nacional,Uruguay,0,
426,Edinson Cavani,3,1,124,0,0,3,0,0,0,0,0,1,0,27,37,73,0,0,0,0,0,0,45,1,1,100,0,1,1,0,0,0,0,2,1,FW,35,Spain,Valencia,Uruguay,0,
427,Giorgian De Arrascaeta,2,1,108,2,0,3,3,0.67,0.67,2,0,0,0,32,52,61.5,3,1,1,2,1,0,70,0,1,0,0,0,0,6,0,0,0,0,4,MF,28,Brazil,Flamengo,Uruguay,0,
428,Martín Cáceres,1,1,90,0,0,0,0,0,0,0,0,1,0,68,79,86.1,0,0,0,0,2,0,83,1,1,100,1,0,0,0,0,0,0,1,0,DF,35,America,LA Galaxy,Uruguay,0,
429,Nicolás De La Cruz,2,0,38,0,0,1,1,0,0,0,0,0,0,20,25,80,0,0,0,0,0,0,29,0,1,0,0,2,0,1,0,0,0,0,1,MF,25,Argentina,River Plate,Uruguay,0,
430,Maxi Gómez,2,0,30,0,0,2,1,0,0,0,0,0,0,5,7,71.4,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0,0,0,2,0,FW,25,Turkey,Trabzonspor,Uruguay,0,
431,Matías Viña,2,0,17,0,0,0,0,0,0,0,0,0,0,11,21,52.4,4,3,0,0,0,0,26,1,1,100,1,0,0,2,0,0,0,0,0,DF,24,Italy,Roma,Uruguay,0,
432,Agustín Canobbio,1,0,11,0,0,0,0,0,0,0,0,0,0,5,7,71.4,1,1,1,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,1,MF,23,Brazil,Atl Paranaense,Uruguay,0,
433,Aimen Dahmen,3,3,270,0,0,0,0,0,0,0,0,0,0,48,77,62.3,0,0,0,0,2,0,82,0,0,0,0,0,0,0,0,0,0,0,0,GK,25,Tunisia,CS Sfaxien,Tunisia,2,11
434,Yassine Meriah,3,3,270,0,0,1,0,0,0,0,0,0,0,139,171,81.3,4,2,5,1,20,0,208,2,4,50,3,1,0,2,0,0,0,5,6,DF,28,Tunisia,Espérance de Tunis,Tunisia,0,
435,Ellyes Skhiri,3,3,270,0,0,2,0,0,0,0,0,0,0,109,127,85.8,10,3,2,7,3,0,161,1,3,33.3,3,2,0,2,0,0,0,1,0,MF,27,Germany,Köln,Tunisia,0,
436,Montassar Talbi,3,3,270,0,0,1,1,0,0,0,0,0,0,118,137,86.1,2,2,7,2,18,0,177,0,1,0,4,2,0,0,0,0,0,8,9,DF,24,France,Lorient,Tunisia,0,
437,Aïssa Laïdouni,3,3,243,0,1,2,0,0,0,0,0,1,0,99,123,80.5,3,3,7,4,6,0,157,1,4,25,3,6,0,3,0,0,0,3,1,MF,25,hu,Ferencváros,Tunisia,0,
438,Ali Abdi,3,2,188,0,0,0,0,0,0,0,0,1,0,72,116,62.1,8,5,1,4,13,1,154,1,2,50,5,0,1,5,0,0,0,9,5,DF,28,France,Caen,Tunisia,0,
439,Issam Jebali,3,2,182,0,0,3,1,0,0,0,0,0,0,25,35,71.4,3,3,1,0,3,0,60,1,2,50,10,2,1,2,0,0,0,2,15,FW,30,Denmark,Odense,Tunisia,0,
440,Youssef Msakni,2,2,169,0,0,9,2,0,0,0,0,0,0,50,69,72.5,3,1,2,0,1,0,92,4,7,57.1,0,4,0,2,0,0,0,3,6,"MF,FW",31,Qatar,Al-Arabi SC,Tunisia,0,
441,Dylan Bronn,2,2,162,0,0,1,0,0,0,0,0,0,0,75,98,76.5,4,2,2,0,0,0,106,0,0,0,1,1,0,0,0,0,0,2,4,DF,26,Italy,Salernitana,Tunisia,0,
442,Anis Ben Slimane,2,2,148,0,0,1,1,0,0,0,0,0,0,29,46,63,3,1,2,1,1,0,72,0,1,0,0,0,0,8,0,0,0,5,3,MF,21,Denmark,Brøndby,Tunisia,0,
443,Mohamed Dräger,2,2,132,0,0,4,0,0,0,0,0,0,0,36,50,72,5,3,0,1,4,0,74,1,2,50,2,1,0,3,0,0,0,1,1,DF,25,Switzerland,Luzern,Tunisia,0,
444,Naïm Sliti,2,1,114,0,0,1,0,0,0,0,0,0,0,29,51,56.9,3,1,0,0,1,0,65,5,8,62.5,0,3,2,13,0,0,0,1,1,"MF,FW",29,Saudi Arabia,Al-Ettifaq,Tunisia,0,
445,Wajdi Kechrida,3,1,111,0,0,0,0,0,0,0,0,1,0,44,69,63.8,3,3,3,0,4,0,84,0,3,0,2,0,0,5,0,0,0,1,2,DF,26,Greece,Atromitos,Tunisia,0,
446,Nader Ghandri,1,1,90,0,0,0,0,0,0,0,0,0,0,27,33,81.8,2,2,4,1,4,0,44,0,0,0,0,1,1,0,0,0,0,2,1,DF,27,Tunisia,Club Africain,Tunisia,0,
447,Ali Maâloul,1,1,90,0,0,0,0,0,0,0,0,0,0,39,63,61.9,1,1,2,0,4,0,72,0,0,0,0,0,0,13,0,0,0,0,1,DF,32,eg,Al Ahly SC,Tunisia,0,
448,Wahbi Khazri,2,1,83,1,0,5,3,0.2,0.33,1,0,0,0,13,20,65,2,0,0,0,0,0,37,0,3,0,1,2,2,2,0,0,0,0,0,"FW,MF",31,France,Montpellier,Tunisia,0,
449,Mohamed Ali Ben Romdhane,1,1,73,0,0,0,0,0,0,0,0,0,0,14,21,66.7,5,4,1,0,0,0,31,1,3,33.3,1,1,0,1,0,0,0,1,0,MF,22,Tunisia,Espérance de Tunis,Tunisia,0,
450,Ferjani Sassi,2,0,48,0,0,1,0,0,0,0,0,1,0,25,34,73.5,2,0,1,1,0,0,40,2,3,66.7,1,1,0,0,0,0,0,2,0,"MF,DF",30,Qatar,Al Duhail SC,Tunisia,0,
451,Taha Yassine Khenissi,2,0,29,0,0,1,0,0,0,0,0,1,0,2,6,33.3,0,0,0,0,0,0,8,0,0,0,3,1,0,0,0,0,0,1,2,FW,30,kw,Kuwait SC,Tunisia,0,
452,Ghaylène Chaalali,1,0,17,0,0,0,0,0,0,0,0,0,0,3,4,75,0,0,1,2,1,0,12,0,0,0,1,0,0,0,0,0,0,1,0,MF,28,Tunisia,Espérance de Tunis,Tunisia,0,
453,Hannibal Mejbri,1,0,11,0,0,0,0,0,0,0,0,0,0,2,2,100,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,MF,19,England,Birmingham City,Tunisia,0,
454,Luis Chávez,3,3,270,1,0,10,4,0.1,0.25,1,0,0,0,99,139,71.2,1,0,6,1,3,0,171,2,6,33.3,3,8,0,19,0,0,0,5,5,MF,26,mx,Pachuca,Mexico,0,
455,Jesús Gallardo,3,3,270,0,0,1,0,0,0,0,0,0,0,93,134,69.4,9,5,5,1,10,0,170,3,4,75,4,1,0,9,0,0,0,1,0,DF,27,mx,Monterrey,Mexico,0,
456,César Montes,3,3,270,0,1,1,0,0,0,0,0,0,0,159,197,80.7,6,3,0,2,11,0,222,2,2,100,4,0,0,0,0,0,0,7,5,DF,25,mx,Monterrey,Mexico,0,
457,Héctor Moreno,3,3,270,0,0,1,0,0,0,0,0,1,0,165,195,84.6,2,1,2,1,4,0,210,0,0,0,3,3,0,0,0,1,0,5,8,DF,34,mx,Monterrey,Mexico,0,
